Compound Actions,,,,,per action,,,,,Action,,,,SubAction,,,"per sub action (if empty, use values from sub action default)",,,,,,,,,,,,
compound_action_id,compound_action_name,description,training_type,,eligible_external_resistance,resistance,speed,displacement,,id,description,body_position,,sub_action_id,sub_action_name,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution,
,Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Supine Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prone Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sidelying Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quadruped Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,no_equipment,none,fast,,,2,,double_leg_moving,,3000.3_b,Jump Legs Apart: Loading,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,1006,"landing, double leg",,,,,,,,,,,,,,
,,,,,no_equipment,none,fast,,,3,,double_leg_moving,,3000.3_c,Jump Legs together: Propulsion,,,,,,,,,,,,,,
,,,,,,,,,,3,T negative,,,2408_b,Horizontal Abduction:negative,,,,,,,,,,,,,,
,,,,,,,,,,3,T stance,,,2406_c,Front Raise:isometric hold,,,,,,,,,,,,,,
,,,,,,,,,,3,bracing,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,,,,,no_equipment,none,fast,,,4,,double_leg_moving,,3000.3_d,Jump Legs together: Loading,,,,,,,,,,,,,,
,,,,,,,,,,4,,,,1006,"landing, double leg",,,,,,,,,,,,,,
1110,Squat Jump,,power_action_plyometrics,,no_equipment,none,explosive,,,1,,double_leg_moving,,3000_a,Jump: Propulsion,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,no_equipment,none,fast,,,2,,double_leg_moving,,3000_b,Jump: Loading,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,1006,"landing, double leg",,,,,,,,,,,,,,
1120,Lateral Bounds,,power_action_plyometrics,,no_equipment,none,fast,,,1,,single_leg_moving,,3000.1_a,Medial Single Leg Jump: Propulsion,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,no_equipment,none,fast,,,2,,single_leg_moving,,3000.2_b,Medial Single Leg Jump: Loading,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,1006.1,"landing, single leg",,,,,,,,,,,,,,
,,,,,no_equipment,none,none,,,3,,single_leg_standing,,1003,Single Leg Standing,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weighted Full Body Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Med Ball Slam,,power_action_plyometrics,,medicine_ball,low,mod,,,1,Raise Overhead,double_leg_standing,,2406_a,Front Raise:Positive,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,,,,,medicine_ball,low,explosive,,,2,Slam Med Ball Down,double_leg_standing,,3100,Slam Down ,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,100,Bracing,,,,,,,,,,,,,,
1200.1,Med Ball Rotational Slam,,power_action_plyometrics,,medicine_ball,low,mod,,,1,Raise Overhead,double_leg_standing,,2406_a,Front Raise:Positive,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,,,,,medicine_ball,low,explosive,,,2,Slam Med Ball Down,double_leg_standing,,3100,Slam Down ,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,100,Bracing,,,,,,,,,,,,,,
1201,Lateral Throw in Lunge Stance,,power_action_plyometrics,,medicine_ball,low,explosive,,,1,,,,3101_a,Lateral Throw: Throw,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,1005,Lunge:stance,,,,,,,,,,,,,,
,,,,,medicine_ball,low,fast,,,2,,,,3101_b,Lateral Throw: Catch,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,1005,Lunge:stance,,,,,,,,,,,,,,
