Compound Actions,,,,,per action,,,,Action,,,,SubAction,,,"per sub action (if empty, use values from sub action default)",,,,,,,,,,,,
compound_action_id,compound_action_name,description,training_type,,eligible_external_resistance,resistance,speed,,id,description,body_position,,sub_action_id,sub_action_name,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution,
,,,,,,none,,,2,,double_leg_standing,,2000_b,Squat:negative,,,,,,,,,,,,,,
,,,,,,none,,,2,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
510,Lunge,,strength_action_bw,,no_equipment,none,mod,,1,,double_leg_standing,,2001_a,Lunge:positive,,,,,,,,,,,,,,
,,,,,,none,,,1,,,,1005,Lunge:stance,,,,,,,,,,,,,,
,,,,,,none,,,1,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
,,,,,,none,,,2,,double_leg_standing,,2001_b,Lunge:negative,,,,,,,,,,,,,,
,,,,,,none,,,2,,,,1005,Lunge:stance,,,,,,,,,,,,,,
,,,,,,none,,,2,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
511,Lateral Lunge,,strength_action_bw,,no_equipment,none,mod,,1,,double_leg_standing,,2001.1_a,Lateral Lunge:positive,,,,,,,,,,,,,,
,,,,,,none,,,1,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
,,,,,,none,,,1,,,,1005,Lunge:stance,,,,,,,,,,,,,,
,,,,,,none,,,2,,double_leg_standing,,2001.1_b,Lateral Lunge:negative,,,,,,,,,,,,,,
,,,,,,none,,,2,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
,,,,,,none,,,2,,,,1005,Lunge:stance,,,,,,,,,,,,,,
520,Monster Walk,,strength_action_bw,,no_equipment,none,mod,,1,single leg stabilization,single_leg_moving,,2_a,monster gait:Propulsion,,TRUE,TRUE,TRUE,alternating_single_leg,,unilateral_alternating,,,,,,,
,,,,,,,,,1,swing,,,2_b,monster gait:Swing,,FALSE,FALSE,FALSE,alternating_single_leg,,unilateral_alternating,,,,,,,
,,,,,,,,,1,,,,1004,monster stance,,FALSE,TRUE,TRUE,alternating_single_leg,,unilateral_alternating,,,,,,,
,,,,,,,,,2,weight transfer between legs,staggered_leg_moving,,2_c,monster gait: transferring load: unloading,,TRUE,TRUE,TRUE,double_leg,,bilateral_uneven,,,,,,,
,,,,,,,,,2,,,,2_d,monster gait: transferring load: receiving,,FALSE,TRUE,TRUE,double_leg,,bilateral_uneven,,,,,,,
