,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,,primary_actions,secondary_actions,,training_type,cardio_action,external_weight,,surface_stability,external weight implement,,explosiveness,,youtube_link,equipment,body_position,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
,500 Meter Swim,,,300,,,strength_cardiorespiratory,swim,,,stable,,,none,,https://youtu.be/GXiBQuO7R9k,,,Minutes; Meters,['equipment: swimming'],swim cool down; double pst; endurance - swim; stamina- swimming; stamina 2; swimming; endurance; cool down; triathlon - sprint distance; down regulation breathing; stamina- swim; triathlon ssp; cool down/swim; stamina; olympic distance ssp; bud/s pst; triathlon - olympic; triathlon - olympic distance; conditioning; blood flow / transition practice session; swim development; buds pst; olympic distance,0,1,0,1,521,58459d78dc2ce90011f93d83,#N/A,
,6 Inch Hold,"supine on floor, raise feet off ground and hold",,,,,strength_endurance,,,,,,,,,https://youtu.be/v9U6r7Nnryg,,,Seconds; Time,[],accessory work 2; accessory work; warm-up; stamina 1; warm-up / movement prep,0,1,0,1,600,58727a1ab06dc50011d08495,#N/A,
,6 Kick Switch,,,300,,,strength_cardiorespiratory,swim,,,stable,,,none,,https://youtu.be/3mBb2djmdv0,,,Yards,[],cyclic work,0,0,0,0,1106,5a4d3caab0d8ca000f30464b,#N/A,
,6-3-6 Drill,based on freestyle,,300,,,strength_cardiorespiratory,swim,,,stable,,,none,,https://youtu.be/mcgj3rjH2ME,,,,[],,0,0,0,0,1137,5a6836448c6176000f5c20b9,#N/A,
,800 Meter Sprint,,,1,,,strength_cardiorespiratory,run,,,stable,,,speed - no force,,https://youtu.be/KrxJND0FMw4,,,,['basic_functional_movement: sprint'],,0,0,0,0,523,58459dbadc2ce90011f93d85,#N/A,
,90/90 Breathing,90/90 is a position with feet against the wall and 90degree at knee and hip. This supported position then allows breathing training,,,,,skill_development,,,,,,,,,https://youtu.be/yMuuKlmdCmw,,,Reps; Minutes; Seconds,[],warm-up/movement prep; movement flow; cool down; strength work; movement prep; prehab/dynamic warm up; mobility; warm-up/movement prep (run focus 6); breathing work; warm-up; recovery protocol; warm up/movement prep; mobility work; warm-up / movement prep,1,0,0,1,535,5852c572988c130011bbc3c1,#N/A,
,90/90 Breathing w/ Curl Up,,,,,,skill_development,,,,,,,,,https://youtu.be/j3ap_SuMvso,,,Reps; Minutes; Time,[],warm-up/movement prep; accessory work; warm-up / movement primer; movement prep; warm-up /movement prep; mobility; warm-up; warmup/movement prep; neuro adaptation; warm up/movement prep; mobility work; warm-up / movement prep,0,0,0,0,541,58544352988c130011bbc443,#N/A,
,90/90 Breathing w/ Hip Lift,,,,,,movement_prep,,,,,,,,,https://youtu.be/m2OFz37JHug,,,Reps; Minutes,[],warm-up/movement prep; warm-up; warm up/movement prep; mobility work; warm-up / movement prep; warm-up/movement prep (basic apex 2),0,0,0,0,765,58de631178c95c000fc33123,#N/A,
,90/90 Breathing w/ Kettlebell Pull Over,,,,,,movement_prep,,,,,,,,,https://youtu.be/9xcbk7Kk-BM?t=21,kettlebells,,Reps,['equipment: kettlebells'],warm-up/movement prep; warm-up / movement prep,0,0,0,0,1843,5cf8a86bfce11500125489fb,Weight (Actual),
,90/90 Breathing w/ Plate Pullover,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/cU_N6ZsUf4A,plate,,Reps; Time,[],warm-up/movement prep; new blank section #2; movement flow; warm-up / movement work; mobility; warm-up; recovery protocol; warm-up / movement prep; warm up/movement prep; mobility work; warm-up / movement prep; warm-up/movement work; stamina,0,1,0,1,823,59285a41d8d39b000f705657,Weight (Actual),
,90/90 Breathing w/Arm Movement,,,,,,movement_prep,,,,,,,,,https://youtu.be/FKLPoLZPF7Y,,,Reps; Minutes,[],warm-up/movement prep; warm up/movement prep; warm-up; warm-up / movement prep,0,0,0,0,1386,5b94742dcbb461000f8bc166,#N/A,
,90/90 Breathing with Arm Movement,,,,,,movement_prep,,,,,,,,,https://youtu.be/DtXGusTzkZk?t=64,,,Reps,[],warm-up/movement prep; warm up/movement prep,0,0,0,0,1661,5c5fbb146c2e26000f144434,#N/A,
,90/90 Hamstring Activation,,,,,,movement_prep,,,,,,,,,https://youtu.be/DPcFqqXISUg,,,Seconds; Reps; Time,[],warm-up/movement prep; run development day; endurance prep; mobility; sports specific day warm-up; warm-up; bike skill development; run development; sports specific day warm up; sports specific warm-up; warm-up / movement prep; brick session; ssp day warm-up; skill development,0,0,0,0,1088,5a3a88424bfad1000f69d89b,#N/A,
,90/90 Hip IR/ER,,,,,,movement_prep,,,,,,,,,https://youtu.be/2uW-9KD5XOM,,,Reps,[],warm-up/movement prep,0,0,0,0,1644,5c59b320f9f7a8000f780b24,#N/A,
,90/90 Hip Lunge Stretch,,,,,,flexibility,,,,,,,,,https://youtu.be/2uW-9KD5XOM,,,Reps; Seconds,['basic_functional_movement: lunge'],warm-up/movement prep; movement flow; warm-up; recovery protocol; mobility work; warm up/movement prep; mobility work 3; warm-up / movement prep,0,0,0,0,1002,59cda50977c03e000f852219,#N/A,
,90/90 Hip Stretch,,,,,,flexibility,,,,,,,,,https://youtu.be/Or5MINtRCk8,,,Reps; Minutes,[],recovery protocol; skill development; cars warm-up; mobility,0,0,0,0,127,57e2fd3a4c6a031dc777e8a5,#N/A,
,90/90 Hip Switch to Extension,,,,,,movement_prep,,,,,,,,,https://youtu.be/voPIk4EGLmk,,,Reps,['movement direction - plane: sagittal'],warm-up/movement prep; movement prep; mobility work 3; mobility work; warm-up / movement prep; stamina 2,0,1,0,1,1942,5d583c19ebe7d40011ca480a,#N/A,
,90/90 Paused Reverse Lunge,reverse lunge,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/8IuvPJpc0vI,dumbbells,,Reps,['basic_functional_movement: lunge'],warm-up/movement prep; accessory work; strength 1; strength 2; warm up/movement prep; warm-up / movement prep,1,0,0,1,1317,5b4e2fedb60e14000fe9a4a8,Weight (Actual),
,90/90 w/ Leg Lift,90/90 position as seated with legs faned at 90 degrees to each side,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=5bYiTJs8Y9c,,,Reps,[],strength 1,1,0,0,1,1729,5c8bdca731c07b000f5d20b5,#N/A,
,A Skip,,,,,,movement_prep,,,,,,,,,https://youtu.be/_MCDR-luwHU,,,Time; Reps; Meters; Feet,[],warm-up/movement prep; skill prep; endurance prep; run warm-up; run development; run warm up; warm-up / movement prep; skill development; stamina; endurance,0,1,0,1,1082,5a39521d4bfad1000f69b951,#N/A,
,Above the Knee Rack Deadlifts,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/e11lVmLsvFU?t=78,barbells,,Reps,['olympic_lift: deadlift'],strength 3; strength; strength 1; strength 2,1,0,0,1,1735,5c9cddd0cc3ad8000f18d94a,Weight (Actual),
Assisted Split Squat Jump,Accelerated Band Split Squat Jumps,"like a jump squat from a lunge position, resistence band used to pull athlete up from floor",,2002,,,power_action_plyometrics,,,,stable,assistance_resistence_bands,,speed - low force,,https://youtu.be/VZBjjdCs6gE,assistance_resistence_bands,,Reps,"['basic_functional_movement: jump', 'basic_functional_movement: squat']",strength 1; strength,1,0,0,1,876,596ac0abc3db3e000f6f9299,#N/A,
,Across Body Arm Swing,,,,,,movement_prep,,,,,,,,,https://youtu.be/rJvvzSR4bEg,,,Reps,[],warm-up/movement prep; prehab/dynamic warm up; prehab/dynamic warm-up; mobility; warm-up; prehab/dynamic warm up (jog 200); warm-up / movement prep,0,0,0,0,481,5826907d473c06100052edfe,#N/A,
,Across Body Curls,bicep curl moving dumbbell to opposite shoulder,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/hKMO99aRd7I?t=24,dumbbells,,,[],,0,0,0,0,62,57e2fd3a4c6a031dc777e85e,#N/A,
,Adductor Leg Lifts,"lying on side, lift bottom leg up against gravity. top leg is out of the way stationary",,,,,strength_endurance,,,,,,,,,https://youtu.be/bQ4YHTCGKaM,,,Reps,['movement direction - plane: frontal'],accessory work,0,0,0,0,1776,5cb0a88acc3ad8000f1e045f,#N/A,
