,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,,primary_actions,secondary_actions,,training_type,cardio_action,external_weight,,surface_stability,external weight implement,,explosiveness,,youtube_link,equipment,body_position,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
,Non Countermovement Vertical Jump,,,,,,power_action_plyometrics,,,,,,,,,https://youtube.com/watch?v=DZG6ufRc4GY,,,,"['basic_exercise: vertical jumps', 'movement direction - axis: vertical', 'basic_functional_movement: jump']",,0,0,0,0,733,58af28e5c334cd000fb5c76f,#N/A,
,Nordic Curls,,,,,,,,,,,,,,,https://youtu.be/FLMU-q3t9ZE?t=19,,,Reps,[],accessory work 2; accessory work; skys out thighs out 1; strength 3; strength 4; accessory work 1,1,0,0,1,1601,5c2550cd4f9813000fe95f0d,Weight (Actual),
,One Arm Dumbbell Row,,,,,,strength_integrated_resistance,,,,,,,,,,dumbbells,,Reps,"['equipment: dumbbells', 'equipment: rower']",strength 3; accessory work; strength,1,0,0,1,359,57e2fd3a4c6a031dc777e99f,Weight (Actual),
,One Arm Kettlebell High Lunge to Lateral Flexion,,,,,,strength_integrated_resistance,,,,,,,,,,kettlebells,,,"['equipment: kettlebells', 'movement direction - plane: sagittal', 'movement direction - plane: frontal', 'movement direction - axis: lateral', 'basic_functional_movement: lunge']",,0,0,0,0,360,57e2fd3a4c6a031dc777e9a0,#N/A,
,One Arm Lateral Cable Raises,,,,,,,,,,,,,,,https://youtu.be/FGU9j1P5L-w,,,Reps,"['equipment: cables', 'movement direction - plane: frontal', 'movement direction - axis: lateral']",accessory work; accessory work 1,0,0,0,0,1482,5bec39ca928046000fa5205a,Weight (Actual),
,One Arm Lead Swim w/Kick Board,,,300,,,strength_cardiorespiratory,swim,,,stable,,,none,,https://youtu.be/BDBVZQlLdoY,,,Reps; Yards,['equipment: swimming'],stroke skill focus; cyclic work,0,0,0,0,1912,5d30dc489a661a0023e9e61f,#N/A,
,Open Step Reaction Drill,unknown without video,,,,,,,,,,,,,,,,,,['basic_functional_movement: step'],,0,0,0,0,361,57e2fd3a4c6a031dc777e9a1,#N/A,
,Open Stepthrough Catch,,,,,,,,,,,,,,,,,,,[],,0,0,0,0,362,57e2fd3a4c6a031dc777e9a2,#N/A,
,Open/Close Book,,,,,,,,,,,,,,,https://youtu.be/thDs_yMzHdg,,,Reps,[],warm-up/movement prep; movement flow; movement prep; mobility; warm-up; movement work; recovery protocol; mobility work; warm-up / movement prep,0,0,0,0,1034,59f2dc63145143000f72b9fa,#N/A,
,OPPOSITE HAND OPPOSITE FOOT PLANK,,,,,,strength_endurance,,,,,,,,,https://youtu.be/vWvXizKr-cM?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Seconds; Minutes; Time,['basic_functional_movement: stabilizer'],accessory work; trunk work,0,0,0,0,547,58583b792b2ef8001104bffd,#N/A,
,Ostrich Walk,,,,,,,,,,,,,,,https://youtu.be/2zXlquD4FZc,,,Reps; Meters; Feet; Seconds,['basic_functional_movement: step'],warm-up/movement prep; movement flow; recovery; cool down; warm-up; movement work; down regulation breathing; recovery protocol; flow; stamina 1; loco motion; warm up/movement prep; warm-up / movement prep; warm-up/movement work; stamina; warm up,0,1,0,1,619,58790575b06dc50011d090ad,#N/A,
,Outside In Skips,,,,,,,,,,,,,,,,,,,[],,0,0,0,0,363,57e2fd3a4c6a031dc777e9a3,#N/A,
,Overhead Barbell Carry,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/x4ddJo-v3kI?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,barbells,,Meters; Feet,"['basic_exercise: carry', 'equipment: barbells']",accessory work; strength 1; strength 3; strength & stamina; warm-up; strength 2; strongwoman; stamina option 1; stamina 1; strength; strongman work; stamina,1,1,0,2,56,57e2fd3a4c6a031dc777e856,Weight (Actual),
,Overhead Cable Curl,,,,,,,,,,,,,,,https://youtu.be/L9GwtjwAM8Y,,,Reps,['equipment: cables'],strength 5,1,0,0,1,1822,5ce46d38fce11500125001a6,Weight (Actual),
,Overhead Lateral Ball Slam,,,,,,power_action_plyometrics,,,,,medicine_balls,,,,https://www.youtube.com/watch?v=zlyMBWW8UvI,medicine_balls,,Reps; Minutes; Time; Seconds,"['movement direction - plane: frontal', 'movement direction - axis: lateral']",accessory work 2; accessory work; mixed modal 2; plyometrics; stamina 1; strength; stamina 2; stamina; stamina 3,1,1,1,3,901,597cc78c332cef000f69d326,Weight (Actual),
,Overhead Lateral Raise,,,,,,,,,,,,,,,https://youtu.be/d81fBrWiZso,,,Reps,"['movement direction - plane: frontal', 'movement direction - axis: lateral']",accessory work,0,0,0,0,1929,5d43e83564943400128e2324,Weight (Actual),
,Overhead Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/9mD8OU5xF2A?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Reps; Time; Meters; Feet,['basic_functional_movement: lunge'],soflete rx'd; soflete performance; warm-up; sky's out thighs out; strength 2; soflete fitness; stamina 1; strength; mobility work; stamina; movement primer; stamina 3,1,1,0,2,46,57e2fd3a4c6a031dc777e84c,Weight (Actual),
,Overhead Med Ball Sit-Up Throw,,,,,,power_action_plyometrics,,,,,medicine_balls,,,,https://www.youtube.com/watch?v=3dQDT4qHywM,medicine_balls,,Reps,[],stamina 1; stamina; strength 2,1,1,0,2,1351,5b7de057573453000f4ae3ed,Weight (Actual),
,Overhead Med Ball Throw,,,,,,power_action_plyometrics,,,,,medicine_balls,,,,https://www.youtube.com/watch?v=SjWwAEPvJvU,medicine_balls,,Reps,[],strength 1; plyometrics; mix modal; strength 2; stamina 1; stamina,1,1,1,3,1304,5b1845551d38c4000ff00121,Weight (Actual),
,Overhead Med Ball Throw & Chase,,,,,,power_action_plyometrics,,,,,medicine_balls,,,,https://www.youtube.com/watch?v=vv4pdvOjMUE,medicine_balls,,Reps,[],stamina 1; plyometrics; stamina 2,0,1,1,2,1306,5b1d59f9589acb000f2c5090,Weight (Actual),
,Overhead Pallof Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=HEs4Xf7ov3s,,,Reps,[],accessory work; strength 1,1,0,0,1,1069,5a0f152b21a0de000fca3c7f,#N/A,
,Overhead Reverse Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=JrZvlceLRUo,,,Reps,['basic_functional_movement: lunge'],mobility work,0,0,0,0,1053,5a04b7ea4e7ddd000fd344e0,Weight (Actual),
,Overhead Sandbag Carry,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/L3kw1kC2q_I,sandbags,,Meters; Feet,"['basic_exercise: carry', 'equipment: sandbags']",stamina,0,1,0,1,1935,5d533a33ebe7d40011c89173,Weight (Actual),
,Overhead Sandbag Throw,,,,,,power_action_plyometrics,,,,,sandbags,,,,https://www.youtube.com/watch?v=c9aiVdhYbrE,sandbags,,Reps; Meters,['equipment: sandbags'],accessory work; strength 2; stamina; strength,1,1,0,2,1024,59e8dcc1b0b986000f1b5b26,Weight (Actual),
,Overhead Squat with Elevated Heels,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/PQusw4sionA,,,,['basic_functional_movement: squat'],,0,0,0,0,984,59cc4f87546031000fe95b39,#N/A,
,Overhead Squats,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/iuio43bd0hU,,,Reps; Time,['basic_functional_movement: squat'],warm-up / movement primer; strength 1; neuro adaptation; mobility work; bonus work; movement primer; stamina 3; warm-up/movement prep; conditioning option a; open 18.3 prep; stamina 4; conditioning 2; stamina 1; gymnastics; strength; stamina; weightlifting; strength 3; conditioning 3; dynamic warm-up; bonus work- barbell cycling; conditioning; movement flow; warm-up; strength 2; conditioning 1; warm-up / movement prep,1,1,0,2,7,57e2fd3a4c6a031dc777e823,Weight (3RM),
,Overhead Walking Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=FGwUzt78KOE,,,Reps; Meters; Feet,['basic_functional_movement: lunge'],conditioning; accessory work; warm-up/movement prep; soflete rx'd; strength 3; soflete performance; warm-up; conditioning 2; soflete fitness; stamina 1; accessory work 1; stamina; movement primer,1,1,0,2,749,58bb3f2bc7cfd3000f0c260b,Weight (Actual),
,Overhead Wall Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtube.com/watch?v=TZANDEEwHHI,,,Reps,['basic_functional_movement: squat'],recovery protocol; dumbbell hammer curls,0,0,0,0,624,587e6f1ef8fcd2000f9079d6,#N/A,
,Overhead Y Sled Drag,,,,,,power_drills_plyometrics,,,,stable,,,,,https://www.youtube.com/watch?v=ugf-bmdMgJg,sled,,Meters; Feet,['equipment: sled'],accessory work 2; stamina; strength 2; strongman,1,1,0,2,1941,5d573b1e3980560012f9b2ad,Weight (Actual),
,Overhead Yoke Walk,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/E4P9on25f4U?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,yoke,,Reps; Minutes; Meters; Feet,"['equipment: yoke', 'basic_functional_movement: step']",conditioning; strength 1; strength 2; strength; stamina,1,1,0,2,633,5881029b9f4d4d000f6e06d9,Weight (Actual),
,Pallof Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=_1sePnkvRBc,,,Reps,[],warm-up/movement prep; accessory work; suns out guns out; strength 1; prehab/dynamic warm up; prehab/dynamic warm-up; strength 3; weapons development; trunk work; strength; correctives,1,0,0,1,508,5841badbdc2ce90011f93b6d,Weight (Actual),
,Pancake Stretch,,,,,,flexibility,,,,,,,,,https://youtu.be/7_G4DKv8iWI,,,Seconds; Reps; Minutes,[],new blank section #4; recovery protocol (sandow 3); cool down; mobility; breathing work; movement work; down regulation breathing; recovery protocol; movement / breathing work; breathing / movement work; down regulation breathing work,0,0,0,0,852,59552412b2347e000f017c88,#N/A,
,Parallel Bar Dips,,,,,,,,,,,,,,,https://youtu.be/OxlgL72bMns?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Reps; Minutes; Time; Seconds,['basic_exercise: dips'],sunâ€™s out guns out (accessory work); calisthenics/strength; weight vest pyramid; stength; pt pyramid; stamina 3; strength work; body weight movements; accessory work 2; upper body pt/strength; weight vest workout; stamina 1; gymnastics; giantset; strength; reverse pyramid; bonus work (optional); stamina; accessory work; suns out gun out; suns out guns out; strength 3; stamina option 1; superset; body weight; dip ladder; warm-up; strength 2; accessory work 1; suns out guns out 3; stamina 2,1,1,0,2,364,57e2fd3a4c6a031dc777e9a4,Weight (Actual),
,Parallette Bar Depth Push-Up,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/daUOoKyHC6I?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Reps,['basic_exercise: push-ups'],accessory work; strength 3; weapons development; gymnastics; stamina; stamina 2,1,1,0,2,647,58817b639f4d4d000f6e0b89,#N/A,
,Parallette Shoot Throughs,,,,,,,,,,,,,,,https://youtu.be/_WFVi-nT31g,,,Reps,[],accessory work; gymnastics; assisted work; strength; neuro adaptation; neo adaptation; stamina,1,1,0,2,1011,59d3f0c80b81da000ff6af87,#N/A,
,Partial Squat with Bottom Pause,,,,,,strength_integrated_resistance,,,,,,,,,,,,,['basic_functional_movement: squat'],,0,0,0,0,365,57e2fd3a4c6a031dc777e9a5,#N/A,
,Partial Squat with No Lockout,,,,,,strength_integrated_resistance,,,,,,,,,,,,,['basic_functional_movement: squat'],,0,0,0,0,366,57e2fd3b4c6a031dc777e9a6,#N/A,
,Partner Resisted Lateral Step Catch,,,,,,,,,,,,,,,,,,,"['movement direction - plane: frontal', 'movement direction - axis: lateral', 'basic_functional_movement: step']",,0,0,0,0,367,57e2fd3b4c6a031dc777e9a7,#N/A,
,Partner Resisted Plank,,,,,,strength_endurance,,,,,,,,,,,,,['basic_functional_movement: stabilizer'],,0,0,0,0,368,57e2fd3b4c6a031dc777e9a8,#N/A,
,Partner Resisted Static Lunge,,,,,,strength_integrated_resistance,,,,,,,,,,,,,['basic_functional_movement: lunge'],,0,0,0,0,369,57e2fd3b4c6a031dc777e9a9,#N/A,
,Passive Bent Arm Hang,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=sQSwP934TQk,,,Time,[],weapons development; strength; strength 2,1,0,0,1,917,5989cc6e332cef000f6b347a,#N/A,
,Passive Rotation w/Dowel,,,,,,,,,,,,,,,https://youtu.be/SWgQV89DHA8,,,,"['movement direction - plane: transverse', 'movement direction - axis: rotational']",,0,0,0,0,952,59c95b2b514bb0000fa64a85,#N/A,
,Pause Jerks,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=wIv9MonbjNI,,,Reps,[],strength 2,1,0,0,1,1040,59fca51a901d91000f575f09,Weight (Actual),
,Pause Squats,,,,,,strength_integrated_resistance,,,,,,,,,,,,,['basic_functional_movement: squat'],,0,0,0,0,370,57e2fd3b4c6a031dc777e9aa,#N/A,
,Pec Minor Smash,,,,,,,,,,,,,,,https://youtu.be/mghh0eR7Uz4,,,Reps; Minutes; Time,[],movement flow; mobility; recovery protocol; movemental flow; mobility work,0,0,0,0,1152,5a889d74ffd2b7000f84ddb4,#N/A,
,Pec Stretch on Rings,,,,,,flexibility,,,,,,,,,https://youtube.com/watch?v=fY4B5UXtQPY,,,Seconds,[],recovery protocol; warm-up / movement prep; warm-up; mobility,0,0,0,0,720,58aa15a78d0ef9000f8fa735,#N/A,
,Pele's,,,,,,,,,,,,,,,,,,,[],,0,0,0,0,371,57e2fd3b4c6a031dc777e9ab,#N/A,
,Pendlay Rows,,,,,,strength_integrated_resistance,,,,,,,,,https://youtube.com/watch?v=ZlRrIsoDpKg,,,Reps; Minutes,[],accessory work; suns out guns out; strength 1; soflete rx'd; soflete performance; strength 3; strength 4; strength 2; soflete fitness; superset; strength; neuro adaptation; mobility work; accessory work 1; stamina,1,1,0,2,71,57e2fd3a4c6a031dc777e867,Weight (Actual),
,Petersen Step-Up,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=venxzC5TDfg,,,Reps,"['basic_exercise: step-up', 'basic_functional_movement: step']",accessory work; warm-up / movement prep; strength work; strength 2,1,0,0,1,859,595bd6906bdcf5000f760368,Weight (Actual),
,Pigeon Pose,,,,,,,,,,,,,,,https://youtu.be/9uhstAygutI?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Seconds; Reps; Minutes; Time,[],mobility; breathing work; recovery portocol; recovery protocol; recovery work; recovery day; mobility work; recovery protocol (long); warm-up/movement prep; down regulation breathing; mobility (bretzel); mobility (box shoulder wo); recovery; stretch; mobility (pigeon stretch); down regulation breathing work; mobility (forward fold); mobility (long); warm-up; moblity; breathing / movement; pigeon pose; warm-up / movement prep,0,0,0,0,124,57e2fd3a4c6a031dc777e8a2,#N/A,
,Pigeon Stretch,,,,,,flexibility,,,,,,,,,https://youtu.be/0zif5xU53ZI,,,Seconds; Time,[],mobility work 3; recovery protocol; mobility work; neuro adaptation,0,0,0,0,958,59c97f003d98d0000fd7fc8f,#N/A,
,Pike Handstand Hold,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=rA_xFsWUPPU,,,,[],,0,0,0,0,1257,5adf514d1a4308000fc54948,#N/A,
,Pike Handstand Hold Shoulder Taps,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=y1sxGjiUHqc,,,Reps; Time,[],weapons development; stamina,0,1,0,1,1258,5adf51921a4308000fc54949,#N/A,
,Pillar Hold Alternate Hand Reach,,,,,,,,,,,,,,,,,,,[],,0,0,0,0,372,57e2fd3b4c6a031dc777e9ac,#N/A,
,Pillar to Plank,,,,,,strength_endurance,,,,,,,,,https://youtube.com/watch?v=lb8puF-akyY,,,Reps,['basic_functional_movement: stabilizer'],warm-up/movement prep; warm-up / movement prep (raiden 4); movement prep; prehab/dynamic warm up; prehab / dynamic warm-up; prehab/dynamic warm-up; prehab / dynamic warm-up (pillar wo.); warm-up; warm-up / movement prep (iapetus 2); dynamic warm-up; warm up/movement prep; correctives; warm-up / movement prep,0,0,0,0,159,57e2fd3a4c6a031dc777e8c8,#N/A,
,Pillar to Plank Press Up,,,,,,strength_endurance,,,,,,,,,,,,,['basic_functional_movement: stabilizer'],,0,0,0,0,373,57e2fd3b4c6a031dc777e9ad,#N/A,
,Pistols,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=Ued9C0M4xdo,,,Reps,[],movement flow; weapons development; warm-up; conditioning 3; gymnastics; conditioning 1; strength; neuro adaptation; stamina,1,1,0,2,625,587f7f0ef8fcd2000f908275,Weight (Actual),
,Pitcher Curl with Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/zPQbOVgM5c4,,,Reps,[],strength 4; neuro adaptation,1,0,0,1,985,59cc507a3d98d0000fd84674,Weight (Actual),
,Planche Lean,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=KMCZ6Pjg9_k,,,Seconds; Minutes; Time,[],warm-up/movement prep; accessory work; weapons development; strength 6; bonus work; warm-up / movement prep; stamina,1,1,0,2,1142,5a6e21ef37af1b000fe2d478,#N/A,
,Plank Band Pull Through,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=e_Fken7Upd4,,,Reps,['basic_functional_movement: stabilizer'],accessory work; strength; bonus material,1,0,0,1,1352,5b7de4d5193653000f03f195,#N/A,
,Plank Hand Step-Ups,,,,,,strength_endurance,,,,,,,,,https://youtu.be/ASRCMxAdhcg,,,Reps,"['basic_exercise: step-up', 'basic_functional_movement: step', 'basic_functional_movement: stabilizer']",warm-up/movement prep; warm-up / movement prep,0,0,0,0,1749,5ca0dc16cc3ad8000f19b041,#N/A,
,Plank Kettlebell Pull Throughs,,,,,,strength_endurance,,,,,,,,,https://youtu.be/vf0RhSUapVI,kettlebells,,Reps; Minutes; Time; Seconds,"['equipment: kettlebells', 'basic_functional_movement: stabilizer']",mobility; breathing work; recovery protocol; assisted work; neuro adaptation; core; strength work; accessory work 2; cool down; down regulation breathing; bonus material; trunk work; stamina 1; stamina; accessory work; trunk work 1; movement flow; warm-up; strength 2; movemental flow,1,1,0,2,986,59cc51403d98d0000fd84675,Weight (Actual),
,Plank to Downward Dog Cross Toe Taps,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=15LQYcp9Zpw,,,Reps,['basic_functional_movement: stabilizer'],warm-up/movement prep; warm-up / movement prep; recovery protocol; warm up/movement prep,0,0,0,0,1264,5ae0ba531a4308000fc57ffc,#N/A,
,Plank w/ Shoulder Taps,,,,,,strength_endurance,,,,,,,,,https://youtu.be/5nAPdCdIVpg,,,Reps; Time; Seconds,['basic_functional_movement: stabilizer'],warm-up/movement prep; movement flow; conditioning; accessory work; soflete rx'd; soflete performance; warm-up; strength 2; soflete fitness; gymnastics; assisted work; conditioning 1; strength; warm-up / movement prep; stamina,1,1,0,2,763,58de5c3ab09811000fafa80a,#N/A,
,Plank Waves,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=XybqEjukzFk,,,Seconds,['basic_functional_movement: stabilizer'],accessory work; bonus work (optional); bonus material,0,0,0,0,1388,5b968450f5c3eb000f33d77e,#N/A,
,Plantar Smash with Lacrosse Ball,,,,,,,,,,,,,,,https://youtu.be/z7Qd6mZw_DY,,,Minutes; Time,[],mobility work; recovery protocol; neuro adaptation,0,0,0,0,968,59c9b9bd514bb0000fa6594b,#N/A,
,Plate Pinch Carry,,,,,,strength_integrated_resistance,,,,,,,,,https://youtube.com/watch?v=632G3Wjlq1A,,,Seconds; Meters; Feet,['basic_exercise: carry'],accessory work; strength 1; strength 3; accessory work 3; strength 4; strength; stamina; strongman,1,1,0,2,727,58ab01e8950f05000f36a808,Weight (Actual),
,Plate Pinch Carry,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=RQ_Pwauqits,,,Seconds; Minutes; Time; Meters,['basic_exercise: carry'],conditioning; warm-up/movement prep; strength 3; warm-up; accessory work 3; strength 2; stamina 1; warm-up / movement prep; stamina,1,1,0,2,1016,59d67208420ee2000fad2487,Weight (Actual),
,Plate Push,,,,,,,,,,,,,,,https://youtu.be/aybS6aX3o3k,,,Meters,[],warm-up; stamina,0,1,0,1,1212,5abfcea5d4365e000f25eb88,Weight (Actual),
,Plate Russian Twist,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=kzpdV6gTJlA,,,Reps; Time,[],trunk work; accessory work; trunk work 2,0,0,0,0,1448,5be3df8b438d7d000f5f6a95,Weight (Actual),
,Plate Sit-Up,,,,,,strength_endurance,,,,,,,,,https://youtu.be/y-BkLY8jyuw,plate,,Reps,[],accessory work; stamina 1; stamina,0,1,0,1,1423,5bc58a67e8be83000ffe23e4,Weight (Actual),
,Plow Pose,,,,,,,,,,,,,,,https://youtu.be/wDMoau3EDC8,,,Minutes,[],recovery protocol,0,0,0,0,1369,5b89da6902ed10000fcace92,#N/A,
,Plyo Push Ups,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/a-CcNoKPafQ?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Seconds; Inches; Minutes; Reps; Time,['basic_exercise: push-ups'],strength 1; prehab/dynamic warm up; ploymetrics; warm-up/movement prep; prehab/dynamic warm-up; speciality work; specialty work; stamina; accessory work; suns out guns out; strength 3; plyometrics; plometrics; warm-up; strength 2; warm-up / movement prep; accessory work 1; assistance work; stamina 2,1,1,1,3,374,57e2fd3b4c6a031dc777e9ae,#N/A,
,PNF Adductor Stretch,,,,,,flexibility,,,,,,,,,https://youtube.com/watch?v=tqtSZziE4-M,,,Reps; Minutes,['movement direction - plane: frontal'],mobility (ps/te); mobility; warm-up; mobility (internal bs); recovery protocol,0,0,0,0,133,57e2fd3a4c6a031dc777e8ab,#N/A,
,Poor Man's Reverse Hyper,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=YW7pMg29SYg,,,Reps,[],recovery protocol; accessory work; cool down; neuro adaptation,0,0,0,0,1055,5a050ab6ff5148000f6a3a4d,#N/A,
,Posterior Hip Mobilization,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=eLWiMUn2nEI,,,Minutes; Time,['movement direction - axis: horizontal'],recovery protocol; mobility (phm); moblity; mobility,0,0,0,0,527,584edf977126830011fc99c3,#N/A,
,Powell Raise,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=_mdImzDNYJo,,,Reps,[],warm-up/movement prep; accessory work; accessory work 2; strength 3; strength 2; warm-up / movement prep; accessory work 1,1,0,0,1,1033,59f26a19145143000f72b2f0,Weight (Actual),
,Power Clean,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/QWjFowKtgeQ?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Reps; Time; Seconds,['olympic_lift: power clean'],strength 1; strength and stamina; stength; bonus work; stamina 3; soflete rx'd; soflete performance; stamina 4; conditioning 2; weightlifting 1; soflete fitness; stamina 1; strength; stamina; weightlifting; accessory work; suns out guns out; strength 3; soflete rx'd/performance; strongman; weightlifting 2; sun's out guns out (accessory work); conditioning; strength 2; stamina 2,1,1,0,2,18,57e2fd3a4c6a031dc777e82f,Weight (Actual),
,Power Clean & Power Jerk,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=c-TD6-GESQk,,,Reps; Time,['olympic_lift: power clean'],conditioning; weightlifting 2; strength 1; strength 3; soflete rx'd; soflete performance; strength 2; soflete fitness; stamina 1; strength; stamina 2; bonus work; stamina; stamina 3,1,1,0,2,832,593366f8d8d39b000f714849,Weight (3RM),
,Power Clean + Hang Power Clean,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/zRju_hHsEZE,,,Reps,['olympic_lift: power clean'],strength 1; strength,1,0,0,1,1836,5cf5753c60e5d3000f267b54,Weight (1RM),
,Power Jerk,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/XtRq5jzUHqE,,,Reps,[],strength 1; strength 3; stamina; strength 2; assistance work; weightlifting,1,1,0,2,8,57e2fd3a4c6a031dc777e824,Weight (Actual),
,Power Snatch,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/UqYf4MjKktA?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Reps; Time,['olympic_lift: snatch'],conditioning; soflete performance/fitness; strength 1; soflete rx'd; soflete performance; weightlifting; weightlifting 1; strength 2; soflete fitness; stamina 1; conditioning 1; strength; weightlifting 2; bonus work; stamina; stamina 2,1,1,0,2,24,57e2fd3a4c6a031dc777e835,Weight (5RM),
,Power Walking,,,3,,,strength_cardiorespiratory,race_walking,,,stable,,,none,,,,,,[],,0,0,0,0,375,57e2fd3b4c6a031dc777e9af,#N/A,
,Prayer Stretch,,,,,,flexibility,,,,,,,,,https://youtu.be/Qry-vp9ICz0?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Seconds; Minutes; Time,[],warm-up/movement prep; movement flow; mobility (prayer); mobility (ps/te); warm-up / movement prep; warm-up /movement prep; mobility; mobility (irb); warm-up; mobility work 1; recovery protocol; mobility work; mobility (bretzel); mobility (pigeon stretch),0,0,0,0,131,57e2fd3a4c6a031dc777e8a9,#N/A,
,Prayer Stretch w/ PVC,,,,,,flexibility,,,,,,,,,https://www.youtube.com/watch?v=hc4M1_1lT5w,,,Reps; Minutes; Time; Seconds,[],mobility; recovery protocol; warm up/movement prep; mobility work; warm-up / movement prep,0,0,0,0,942,59c2b644514bb0000fa5a8ac,#N/A,
,Preacher Curl,,,,,,,,,,,,,,,https://youtu.be/fIWP-FRFNU0,,,Reps,[],accessory work,0,0,0,0,1451,5be5e981438d7d000f5fe83b,Weight (Actual),
,Press Complex,,,,,,strength_integrated_resistance,,,,,,,,,,,,Reps,[],strength,1,0,0,1,497,583c7de3fbefd210001e3443,Weight (Actual),
,Press in Snatch,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=0JIj91he19Y,,,Reps,['olympic_lift: snatch'],strength 2,1,0,0,1,922,598cf36ffd7558000f814efa,Weight (Actual),
,Press in Split Position,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/65NfhQA-Y3U,,,Reps,[],strength 3; movement primer,1,0,0,1,1160,5a8cbf1effd2b7000f8567db,Weight (Actual),
,Primal Movements,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=14BjRxE7f1o,,,Feet,[],movement flow,0,0,0,0,1233,5ac6cdd7d4365e000f26fe5b,#N/A,
,Prisoner Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/Rq9Hq3VBW9I,,,Reps,['basic_functional_movement: squat'],warm-up/movement prep; warm-up; warm up / movement prep; warm up/movement prep; warm-up / movement prep; warm-up/movement prep (franco 4.1),0,0,0,0,1366,5b89a58502ed10000fcac13b,#N/A,
,Prone Arm Slide,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/PtE5txAh5mI,,prone,Reps,['body position: prone'],accessory work 2,0,0,0,0,1856,5d0329ab60e5d3000f29cea9,#N/A,
,Prone Banded Leg Curls,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/2bZL3AyJYo4,resistence_bands,,Reps,['body position: prone'],accessory work,0,0,0,0,1381,5b92165b4245d1000f567d90,#N/A,
