Define categories for actions to align with adaptation types and similar functional movements,,Define candidate action's applicability to movement,,,,,,,,How to Apply Weight,,,,,,,,,,,,,,Primary Joint Actions: selecting muscles to apply primary load type - dependent on adaptation type power/maxstrength/endstrength,,,,,,,,,,,,
id,component_actions,compound_action_name,action_name,Rep_Conversion,example,example_urls,Categorization,categorization,,training_type,eligible_external_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,percent_bodyweight,lateral_distribution,apply_resistance,relative_explosiveness,apply_instability,,muscle_action,hip_joint_priority,hip_joint_action,knee_joint_priority,knee_joint_action,ankle_joint_priority,ankle_joint_action,trunk_joint_priority,trunk_joint_action,shoulder_scapula_joint_priority,shoulder_scapula_joint_action,elbow_joint_priority,elbow_joint_action
3001_b,,,squat jump landing,,,,,,,power_action_plyometrics,,double_leg,,bilateral,2,1,2,100,100,TRUE,low_force,TRUE,,eccentric,1,hip flexion,2,knee flexion,,,,,,,,
3020_a,,jump into prone plank,arms stabilize,,,,,,,power_action_plyometrics,,prone,double_arm,bilateral,2,1,2,100,,FALSE,low_force,TRUE,,isometric,,,,,,,,,1,Shoulder Flexion,,
3020_b,,,leg extension,,,,,,,power_action_plyometrics,,double_leg,,bilateral,2,1,2,100,,FALSE,low_force,FALSE,,concentric,1,hip extension,1,knee extension,,,2,Trunk Extension,,,,
3020_c,,jump out of prone plank,arms stabilize,,,,,,,power_action_plyometrics,,prone,double_arm,bilateral,2,1,2,100,,FALSE,low_force,TRUE,,isometric,,,,,,,,,1,Shoulder Extension,,
3020_d,,,feet to hands,,,,,,,power_action_plyometrics,,double_leg,,bilateral,2,1,2,100,,FALSE,low_force,FALSE,,concentric,1,hip flexion,1,knee flexion,,,2,Trunk Flexion,,,,
3021_a,,Push Up Jump,push up,,,,,,,power_action_plyometrics,,prone,double_arm,bilateral,2,1,2,100,,TRUE,mod_force,TRUE,,concentric,,,,,,,,,1,"Shoulder Horizontal Adduction (Horizontal Flexion)
Shoulder Flexion",2,elbow extension
3021_b,,,catch,,,,,,,power_action_plyometrics,,prone,double_arm,bilateral,2,1,2,100,,TRUE,mod_force,TRUE,,eccentric,,,,,,,,,1,"Shoulder Horizontal Abduction (Horizontal Extension)
Shoulder Extension",2,elbow flexion
,,Med ball throws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100_a,,chest / push throw,throw,,,,,,,power_action_plyometrics,,,double_arm,bilateral,2,0,0,9.43,,TRUE,mod_force,TRUE,,concentric,,,,,,,,,,Shoulder Horizontal Adduction (Horizontal Flexion),,elbow extension
3100_b,,,loading / catch,,,,,,,power_action_plyometrics,,,double_arm,bilateral,2,0,0,9.43,,TRUE,mod_force,TRUE,,eccentric,,,,,,,,,,Shoulder Horizontal Abduction (Horizontal Extension),,elbow flexion
3103,,slam from overhead,throw,,,,,,,power_action_plyometrics,,,double_arm,bilateral,2,0,0,9.43,,TRUE,high_force,TRUE,,concentric,,,,,,,1,Trunk Flexion,2,Shoulder Flexion,,
,,Integrated Resistance Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Upper Body Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400_a,,Dumbbell Bench Press,positive,,,,,,,strength_integrated_resistance,dumbbells,supine,double_arm,bilateral,2,0,0,9.43,"50, 50",TRUE,no_speed,TRUE,,concentric,,,,,,,,,1,Shoulder Horizontal Adduction (Horizontal Flexion),1,elbow extension
2400_b,,,negative,,,,,,,strength_integrated_resistance,dumbbells,supine,double_arm,bilateral,2,0,0,9.43,"50, 50",TRUE,no_speed,TRUE,,eccentric,,,,,,,,,1,Shoulder Horizontal Abduction (Horizontal Extension),1,elbow flexion
2401_a,,Incline Bench Press,positive,,,,,,,strength_integrated_resistance,barbells,supine,double_arm,bilateral,2,0,0,9.43,"50, 50",TRUE,no_speed,TRUE,,concentric,,,,,,,,,1,Shoulder Horizontal Adduction (Horizontal Flexion),1,elbow extension
