name,description,training_type_original,training_type,equipment,action,body_position,explosiveness,youtube_link,tags,sections,strength,endurance,power,stability,number of training types assigned,metrics,,id
Cuban Press,,,,,,,,https://youtu.be/JbUmmt70dP0?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,[],warm-up/movement prep; accessory work; acessory work; suns out guns out; prehab/dynamic warm up; strength 3; warm-up; strength 6; strength 2; strength; accessory work 4; warm-up / movement prep; accessory work 1,1,0,0,,1,Reps,64,57e2fd3a4c6a031dc777e860
Curl Up,,,,,,,,https://youtu.be/qT5kOZQUlOs,[],warm-up/movement prep; prehab/dynamic warm up; warm-up; recovery protocol; correctives; warm-up / movement prep; warm-up/movement prep (franco 4.1),0,0,0,,0,Reps,514,58442761dc2ce90011f93cb8
Curtis Mans,,,,,,,,https://www.youtube.com/watch?v=3O3bT0PEySE,[],stamina 1; stamina,0,1,0,,1,Reps,778,58f8d5b8bbd5d5000f55442c
Curtis P,,,,,,,,https://www.youtube.com/watch?v=S0pO8jOahNM,[],stamina; strength; stamina 2,1,1,0,,2,Reps,59,57e2fd3a4c6a031dc777e859
Curtsy Lunge,,,,,,,,https://youtu.be/cVYnf2CFO9M,['basic_functional_movement: lunge'],warm-up/movement prep; accessory work; accessory work 2; warm-up / movement prep; recovery protocol; powerlifting 2; strength; warm-up/movement work; accessory work 1; stamina,1,1,0,,2,Reps,1838,5cf5793b60e5d3000f267d8c
Curtsy Squat,,,,,,,,https://www.youtube.com/watch?v=djYGP6Av0NM,['basic_functional_movement: squat'],warm-up/movement prep; accessory work; strength 2; recovery protocol; strength 5,1,0,0,,1,Reps,1289,5b04611c3eac7a000f72b650
Cyclist Goblet Squat,,,,,,,,https://www.youtube.com/watch?v=aF1ZLO43_BU,['basic_functional_movement: squat'],accessory work 2,0,0,0,,0,Reps,1921,5d3aa08ccc3ad8000f3e5ce1
Cyclist Squat,,,,,,,,https://youtube.com/watch?v=EkDvCTBlcpc,['basic_functional_movement: squat'],accessory work 1; accessory work; endurance prep; strength 1; strength 3; sports specific day warm-up; warm-up; strength 4; strength 2; bike skill development; sports specific day warm up; skys out thighs out; sports specific warm-up; skys out thighs out 2; strength; skill development; endurance,1,0,0,,1,Reps,587,58682972c04a4e0010870fb0
Dancer Stretch,,,,,,,,,[],,0,0,0,,0,,277,57e2fd3a4c6a031dc777e94a
DB Clean and Press,,,,dumbbells,,,,https://youtu.be/EibU0r24YsI,"['olympic_lift: clean and press', 'equipment: dumbbells']",warm-up/movement prep,0,0,0,,0,Reps,1512,5bf263fa8a838c000f931f21
DB Curl to Arnold Press,,,,dumbbells,,,,https://youtu.be/N0Z5LQJu4Zw,['equipment: dumbbells'],accessory work 2; accessory work; bonus material,0,0,0,,0,Reps,1416,5bb6b6de1f5e07000ff76e26
DB Drag Curls,,,,dumbbells,,,,https://youtu.be/5PdEraHkF1A,['equipment: dumbbells'],accessory work,0,0,0,,0,Reps,1316,5b4b016e042f22000f4c44fc
DB Hang Power Clean & Jerk,,,,dumbbells,,,,https://www.youtube.com/watch?v=2YedyLmkDRE,"['olympic_lift: power clean', 'equipment: dumbbells']",conditioning; soflete rx'd; conditioning option a; soflete performance; strength 2; soflete fitness; stamina 1; conditioning 1; bonus work; open 18.1 prep; stamina; stamina 2,1,1,0,,2,Reps; Time,858,595bd04cb66a98000f60321e
DB Pendlay Rows,,,,dumbbells,,,,https://www.youtube.com/watch?v=3pH5T8yIMpE,['equipment: dumbbells'],warm-up/movement prep; accessory work; warm-up; strength 2,1,0,0,,1,Reps,1270,5ae9cce41a4308000fc6a1f0
DB Press From Squat,,,,dumbbells,,,,https://youtu.be/s8fGQGE4Cu4,"['equipment: dumbbells', 'basic_functional_movement: squat']",warm-up/movement prep,0,0,0,,0,Reps,1515,5bf3185a8a838c000f9356cb
