Define categories for actions to align with adaptation types and similar functional movements,Define candidate action's applicability to movement,,,,,,How to Apply Weight,,,,,,,,,,,,Primary Joint Actions: selecting muscles to apply primary load type - dependent on adaptation type power/maxstrength/endstrength,,,,,,,,,,,,,,"Ancillary Joint Actions: selecting Fixators muscles to apply strength endurance load
If stability intensity should affect load magnitude (i.e. weight implement, speed, surface), then fixator. Else Primary action.
203_b,,recovery phase,,ski_erg,,,strength_cardiorespiratory,,double_leg,double_arm,,unilateral_alternating,,40,FALSE,no_speed,FALSE,,concentric,,,,,,,2,Trunk Extension,2,Shoulder Flexion,2,elbow flexion,,isometric,,,,,,,,,,,,,
,Swimming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300_a,freestyle,against resistence,,swim,,,strength_cardiorespiratory,,,alternating_arms,,unilateral_alternating,,0,TRUE,no_speed,TRUE,,concentric,,,,,,,2,Trunk Rotation,1,Shoulder Extension,,,,isometric,,,,transverse plane,,sagital plane,,,,,,,
,,return to start,,swim,,,strength_cardiorespiratory,,,alternating_arms,,unilateral_alternating,,10,FALSE,no_speed,FALSE,,concentric,,,,,,,,,1,"Shoulder Flexion
Shoulder External Rotation
Shoulder Internal Rotation",,,,isometric,,,,,,,,,,,,,
301_a,breaststoke,,,swim,,,strength_cardiorespiratory,,,,,bilateral,,,TRUE,no_speed,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
302_a,backstroke,against resistence,,swim,,,strength_cardiorespiratory,,,alternating_arms,,unilateral_alternating,,0,TRUE,no_speed,TRUE,,concentric,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,return to start,,,,,strength_cardiorespiratory,,,alternating_arms,,unilateral_alternating,,10,FALSE,no_speed,FALSE,,concentric,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
303_a,scissor kicking,kick towards belly,,swim,,,strength_cardiorespiratory,,double_leg,,,unilateral_alternating,,,TRUE,no_speed,TRUE,,concentric,1,hip flexion,,,,,,,,,,,,isometric,,,,,,,,,,,,,
303_b,,hold leg straight while kick towards belly,,swim,,,strength_cardiorespiratory,,double_leg,,,unilateral_alternating,,,TRUE,no_speed,FALSE,,isometric,,,2,knee extension,,,,,,,,,,isometric,,,,,,,,,,,,,
303_c,,kick towards butt,,swim,,,strength_cardiorespiratory,,double_leg,,,unilateral_alternating,,,TRUE,no_speed,TRUE,,concentric,1,hip extension,,,,,,,,,,,,isometric,,,,,,,,,,,,,
303_d,,hold leg straight while kick towards butt,,swim,,,strength_cardiorespiratory,,double_leg,,,unilateral_alternating,,,TRUE,no_speed,FALSE,,isometric,,,2,knee flexion,,,,,,,,,,isometric,,,,,,,,,,,,,
304_a,dolphin kicking,kick towards belly,,swim,,,strength_cardiorespiratory,,double_leg,,,bilateral,,,TRUE,no_speed,TRUE,,concentric,1,hip flexion,,,,,,,,,,,,isometric,,,,,,,,,,,,,
304_b,,hold leg straight while kick towards belly,,swim,,,strength_cardiorespiratory,,double_leg,,,bilateral,,,TRUE,no_speed,FALSE,,isometric,,,2,knee extension,,,,,,,,,,isometric,,,,,,,,,,,,,
304_c,,kick towards butt,,swim,,,strength_cardiorespiratory,,double_leg,,,bilateral,,,TRUE,no_speed,TRUE,,concentric,1,hip extension,,,,,,,,,,,,isometric,,,,,,,,,,,,,
304_d,,hold leg straight while kick towards butt,,swim,,,strength_cardiorespiratory,,double_leg,,,bilateral,,,TRUE,no_speed,FALSE,,isometric,,,2,knee flexion,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Strength Endurance Actions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,postural stabilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
