SubAction,,,,,,,literal direction that the joint is moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub_action_id,sub_action_name,description,muscle_action,movement_system_priority,movement_system,hip_joint_priority,hip_joint_action,knee_joint_priority,knee_joint_action,ankle_joint_priority,ankle_joint_action,trunk_joint_priority,trunk_joint_action,shoulder_scapula_joint_priority,shoulder_scapula_joint_action,elbow_joint_priority,elbow_joint_action,wrist_joint_priority,wrist_joint_action,,body_position,eligible_external_resistance,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution
2403_a,Dips:positive,,concentric,,,,,,,,,,,2,Scapular Depression,,,,,,hanging,plate,,TRUE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
2403_b,Dips:negative,,eccentric,,,,,,,,,,,1,Shoulder Horizontal Abduction (Horizontal Extension),2,elbow flexion,,,,hanging,plate,,FALSE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
2403_b,Dips:negative,,eccentric,,,,,,,,,,,2,Shoulder Extension,,,,,,hanging,plate,,FALSE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
2403_b,Dips:negative,,eccentric,,,,,,,,,,,2,Scapular Elevation,,,,,,hanging,plate,,FALSE,TRUE,TRUE,,double_arm,bilateral,2,1,2,1,100,"50,50"
2403_g,Dips:stance,,isometric,1,posterior pelvic tilt,,,,,,,,,,,,,,,,hanging,plate,,FALSE,TRUE,TRUE,double_leg,,bilateral,2,1,2,1,100,"50,50"
2403.1_a,Bench Tricep Extension:positive,Lying on back on bench,concentric,,,,,,,,,,,,,1,elbow extension,,,,supine,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2403.1_b,Bench Tricep Extension:negative,,eccentric,,,,,,,,,,,,,1,elbow flexion,,,,supine,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2403.1_c,Bench Tricep Extension:stance,,isometric,,,,,,,,,,,2,Shoulder Extension,,,2,wrist flexion,,supine,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2403.2_a,Tricep Extension:positive,standing with weight overhead,concentric,,,,,,,,,,,,,1,elbow extension,,,,upright_torso,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2403.2_b,Tricep Extension:negative,,eccentric,,,,,,,,,,,,,1,elbow flexion,,,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2403.2_c,Tricep Extension:stance,,isometric,,,,,,,,,,,3,Shoulder Flexion,,,2,wrist flexion,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2403.3_a,Suspension Tricep Extension:positive,,concentric,,,,,,,,,,,,,1,elbow extension,,,,supine,TRX,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,1,2,1.2,120,"50,50"
2403.3_b,Suspension Tricep Extension:negative,,eccentric,,,,,,,,,,,,,1,elbow flexion,,,,supine,TRX,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,1,2,1.2,120,"50,50"
2403.3_c,Suspension Tricep Extension:stance,,isometric,,,,,,,,,,,2,Shoulder Extension,,,2,wrist flexion,,supine,TRX,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,1,2,1.2,120,"50,50"
2404_a,Bicep Curl:positive,,concentric,,,,,,,,,,,,,1,elbow flexion,,,,upright_torso,single_dumbbell,,TRUE,FALSE,TRUE,,single_arm,unilateral,1,,,1,4.715,"100,0"
2404_b,Bicep Curl:negative,,eccentric,,,,,,,,,,,,,1,elbow extension,,,,upright_torso,single_dumbbell,,FALSE,FALSE,TRUE,,single_arm,unilateral,1,,,1,4.715,"100,0"
2404_c,Bicep Curl:stance,,isometric,,,,,,,,,,,2,Shoulder Flexion,,,2,Wrist Flexion,,upright_torso,single_dumbbell,,FALSE,FALSE,TRUE,,single_arm,unilateral,1,,,1,4.715,"100,0"
2404.1_a,Hammer Bicep Curl:positive,,concentric,,,,,,,,,,,,,1,elbow flexion,,,,upright_torso,dumbbells,,TRUE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
2404.1_b,Hammer Bicep Curl:negative,,eccentric,,,,,,,,,,,,,1,elbow extension,,,,upright_torso,dumbbells,,FALSE,FALSE,TRUE,,double_arm,bilateral,2,,,1,9.43,"50,50"
